lon,lat,district,State name,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Households,Rural_Households,Urban_Households,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Households_with_Internet,Households_with_Computer,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Car_Jeep_Van,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Male_percentage,Female_percentage,Sex_ratio,Male_literacy_percent,Female_literacy_percent
92.89042218981393,23.81791193756492,AIZAWL,MIZORAM,283,400309,199270,201039,340595,169547,171048,100911,20570,80341,79804,64710,4019,21093,59257,73438,9581,13249,5264,379134,105,1570,76,505,50.0,50.0,101.0,50.0,50.0
93.26214051644014,23.536916521130383,CHAMPHAI,MIZORAM,284,125745,63388,62357,100802,51440,49362,31112,18395,12717,23948,9115,186,2263,13445,19039,1237,1075,699,123446,9,151,45,194,50.0,50.0,98.0,51.0,49.0
92.7303833491398,24.2004504564271,KOLASIB,MIZORAM,282,83955,42918,41037,65895,34147,31748,22176,9669,12507,14853,8787,367,1986,8392,12841,867,4000,4426,75210,16,108,2,46,51.0,49.0,96.0,52.0,48.0
92.7136088415323,22.38717625435167,LAWNGTLAI,MIZORAM,287,117894,60599,57295,62861,36444,26417,27266,21993,5273,9283,5213,162,1329,6657,7895,631,1668,522,63892,52,51549,122,2,51.0,49.0,95.0,58.0,42.0
92.65370219863958,22.977995959974944,LUNGLEI,MIZORAM,286,161428,82891,78537,121122,64515,56607,38794,21479,17315,26394,14037,482,3725,15871,21471,1982,5231,1290,127124,74,27543,93,5,51.0,49.0,95.0,53.0,47.0
92.46489138411727,23.75021169431063,MAMIT,MIZORAM,281,86364,44828,41536,60191,32977,27214,20855,16726,4129,12158,4010,90,1073,6263,10031,565,2989,1782,69104,13,12328,25,19,52.0,48.0,93.0,55.0,45.0
93.01324412129264,22.382503372302743,SAIHA,MIZORAM,288,56574,28594,27980,42233,21861,20372,12827,7043,5784,7400,4783,168,1194,4797,5856,507,933,514,54977,11,102,4,2,51.0,49.0,98.0,52.0,48.0
92.95747204855391,23.26413838197291,SERCHHIP,MIZORAM,285,64937,32851,32086,54476,27598,26878,15490,7472,8018,12315,5511,131,987,7043,10185,702,991,335,63444,6,60,9,35,51.0,49.0,98.0,51.0,49.0
79.94605864569908,13.233758278013283,THIRUVALLUR,TAMIL NADU,602,3728104,1876062,1852042,2791721,1495711,1296010,1119433,387237,732196,909400,621907,75634,174279,857364,772398,54505,3325823,143093,233633,1422,951,3693,530,50.0,50.0,99.0,54.0,46.0
80.23049934576076,13.00814978423923,CHENNAI,TAMIL NADU,603,4646732,2335844,2310888,3776276,1968079,1808197,1314125,0,1314125,1096334,910262,217368,355838,1055696,1017122,146388,3751322,439270,358662,2851,2804,51708,1759,50.0,50.0,99.0,52.0,48.0
