State name,District name,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Households,Rural_Households,Urban_Households,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Households_with_Internet,Households_with_Computer,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Car_Jeep_Van,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Male_percentage,Female_percentage,Sex_ratio,Male_literacy_percent,Female_literacy_percent
JAMMU AND KASHMIR,KUPWARA,1,870354,474190,396164,439654,282823,156831,181664,158438,23226,83071,15828,762,5256,26828,56495,2988,37128,823286,1700,5600,66,39,13,54.0,46.0,84.0,64.0,36.0
JAMMU AND KASHMIR,BUDGAM,2,753745,398041,355704,335649,207741,127908,187839,160649,27190,90190,15118,1999,5892,54170,72197,5091,10110,736054,1489,5559,47,6,2,53.0,47.0,89.0,62.0,38.0
JAMMU AND KASHMIR,LEH,3,133487,78971,54516,93770,62834,30936,54394,36920,17474,17250,13645,574,2150,13597,13836,4271,22882,19057,658,1092,88635,103,54,59.0,41.0,69.0,67.0,33.0
JAMMU AND KASHMIR,KARGIL,4,140802,77785,63017,86236,56301,29935,48144,40370,7774,15824,3285,235,1005,8008,10562,1847,10341,108239,604,1171,20126,28,4,55.0,45.0,81.0,65.0,35.0
JAMMU AND KASHMIR,PUNCH,5,476835,251899,224936,261724,163333,98391,147408,132139,15269,62900,13160,346,3342,16022,36358,1731,32604,431279,958,11188,83,10,2,53.0,47.0,89.0,62.0,38.0
JAMMU AND KASHMIR,RAJOURI,6,642415,345351,297064,364109,224469,139640,213578,196070,17508,96012,23946,673,6219,34209,65569,3128,221880,402879,983,15513,189,26,3,54.0,46.0,86.0,62.0,38.0
JAMMU AND KASHMIR,KATHUA,7,616435,326109,290326,389204,228499,160705,214847,181374,33473,109422,32772,1443,6112,66944,88964,4687,540063,64234,1828,9551,24,16,2,53.0,47.0,89.0,59.0,41.0
JAMMU AND KASHMIR,BARAMULLA,8,1008039,534733,473306,545149,337170,207979,259475,210543,48932,138180,33022,3698,10645,75137,107269,10075,30621,959185,1497,14770,140,29,7,53.0,47.0,89.0,62.0,38.0
JAMMU AND KASHMIR,BANDIPORA,9,392232,207680,184552,185979,117058,68921,98076,80521,17555,45469,8868,985,3155,25399,34528,2237,8439,382006,572,555,44,17,2,53.0,47.0,89.0,63.0,37.0
JAMMU AND KASHMIR,SRINAGAR,10,1236829,651124,585705,748584,431746,316838,262239,4518,257721,165403,138119,16413,33831,152945,157875,34586,42540,1177342,2746,12187,285,74,2,53.0,47.0,90.0,58.0,42.0
JAMMU AND KASHMIR,GANDERBAL,11,297446,158720,138726,143276,90581,52695,77346,63788,13558,38487,10410,878,2779,20350,27786,2313,5592,290581,406,486,25,8,4,53.0,47.0,87.0,63.0,37.0
JAMMU AND KASHMIR,PULWAMA,12,560440,293064,267376,293958,178326,115632,169223,147520,21703,73629,16828,1537,5293,45967,65162,6164,13840,535159,1109,9440,35,6,18,52.0,48.0,91.0,61.0,39.0
JAMMU AND KASHMIR,SHOPIYAN,13,266215,136480,129735,136500,80355,56145,80888,75616,5272,35282,3727,884,3440,19896,33786,3634,3116,262263,429,178,6,1,6,51.0,49.0,95.0,59.0,41.0
JAMMU AND KASHMIR,ANANTNAG,14,1078692,559767,518925,545532,324417,221115,277733,207067,70666,114899,28984,2712,8612,67166,102683,7846,13180,1057005,1449,6140,55,7,7,52.0,48.0,93.0,59.0,41.0
JAMMU AND KASHMIR,KULGAM,15,424483,217620,206863,209085,125052,84033,121130,95952,25178,47913,4301,838,3542,25825,49605,2421,4267,418076,460,1035,27,25,9,51.0,49.0,95.0,60.0,40.0
JAMMU AND KASHMIR,DODA,16,409936,213641,196295,219083,138620,80463,133617,122267,11350,61831,7963,596,3077,19244,47031,1804,187621,220614,472,422,21,22,42,52.0,48.0,92.0,63.0,37.0
JAMMU AND KASHMIR,RAMBAN,17,283713,149132,134581,124065,82938,41127,89622,84281,5341,34243,3982,417,2644,8110,27216,958,81026,200516,414,753,43,3,252,53.0,47.0,90.0,67.0,33.0
JAMMU AND KASHMIR,KISHTWAR,18,230696,120165,110531,107506,68700,38806,78371,72378,5993,24067,4118,274,1651,9281,17702,850,93931,133225,277,450,2094,3,514,52.0,48.0,92.0,64.0,36.0
JAMMU AND KASHMIR,UDHAMPUR,19,554985,296784,258201,322354,197543,124811,183360,148664,34696,73999,20008,1214,5744,37323,64858,3800,489044,59771,1962,3418,106,57,235,53.0,47.0,87.0,61.0,39.0
JAMMU AND KASHMIR,REASI,20,314667,166461,148206,150542,93937,56605,107833,95572,12261,31588,6552,602,2849,13645,28783,1878,153898,156275,1208,3107,15,7,3,53.0,47.0,89.0,62.0,38.0
JAMMU AND KASHMIR,JAMMU,21,1529958,813821,716137,1137135,641916,495219,502609,254566,248043,294739,197168,19905,46657,240478,241206,44063,1289240,107489,12104,114272,470,1987,321,53.0,47.0,88.0,56.0,44.0
JAMMU AND KASHMIR,SAMBA,22,318898,169124,149774,228139,130312,97827,114236,94247,19989,61159,34063,992,4465,47611,50736,4093,275311,22950,2306,17961,48,16,6,53.0,47.0,89.0,57.0,43.0
HIMACHAL PRADESH,CHAMBA,23,519080,261320,257760,323842,186064,137778,200231,186395,13836,96082,21458,1615,5117,62233,73995,5074,479782,32455,1559,2745,1740,57,14,50.0,50.0,99.0,57.0,43.0
HIMACHAL PRADESH,KANGRA,24,1510075,750591,759484,1152640,606443,546197,627328,588321,39007,330081,148361,8053,22753,272579,274180,22727,1461140,19797,3023,8929,14511,194,208,50.0,50.0,101.0,53.0,47.0
HIMACHAL PRADESH,LAHAUL AND SPITI,25,31564,16588,14976,21845,12897,8948,17434,17434,0,5618,2046,61,252,4938,4995,536,11649,74,212,35,19572,3,1,53.0,47.0,90.0,59.0,41.0
HIMACHAL PRADESH,KULLU,26,437903,225452,212451,307672,174550,133122,188704,167995,20709,91322,40064,2623,7010,66910,79454,8479,415669,2974,1568,1396,15377,94,83,51.0,49.0,94.0,57.0,43.0
HIMACHAL PRADESH,MANDI,27,999777,498065,501712,723747,393669,330078,462825,431129,31696,214491,59324,5333,16401,157314,172205,15958,981412,9460,876,4081,2628,43,86,50.0,50.0,101.0,54.0,46.0
